iter	MAE
0	0.2861633937
1	0.2815136319
2	0.2757460975
3	0.2709316287
4	0.2659133311
5	0.260912141
6	0.2564918763
7	0.2516712715
8	0.2472630946
9	0.2428948452
10	0.2389215265
11	0.2347827734
12	0.2307656456
13	0.2269424988
14	0.2232784762
15	0.2199855137
16	0.2165112454
17	0.2133537571
18	0.2102356248
19	0.2070174927
20	0.2042675918
21	0.2013584489
22	0.1983546793
23	0.1958167404
24	0.1933618131
25	0.191110663
26	0.1886357161
27	0.1862506674
28	0.1840041504
29	0.1817677607
30	0.1798414171
31	0.1776667856
32	0.1755373161
33	0.1734432408
34	0.1715945214
35	0.1697990208
36	0.1681120106
37	0.166472595
38	0.164719161
39	0.163138655
40	0.1617888473
41	0.1601843455
42	0.1587695604
43	0.1573794759
44	0.1562265028
45	0.1548074788
46	0.1533628245
47	0.1520900265
48	0.1509060464
49	0.1497507874
50	0.1487933005
51	0.1479865718
52	0.1469987375
53	0.1459349244
54	0.1448696014
55	0.1439907862
56	0.1430743129
57	0.1421913562
58	0.1413068736
59	0.140509021
60	0.1397027484
61	0.138924556
62	0.1383340307
63	0.137626418
64	0.1367496236
65	0.1360413284
66	0.1353247256
67	0.1347309405
68	0.134105923
69	0.133526448
70	0.1328500372
71	0.1323869237
72	0.131848307
73	0.1313530772
74	0.1308797298
75	0.1303042086
76	0.1296562649
77	0.1292216081
78	0.1288041454
79	0.1282886555
80	0.1278987805
81	0.1274840912
82	0.1270367662
83	0.1264254419
84	0.1260005004
85	0.1255911677
86	0.1252253015
87	0.1248531911
88	0.1243756006
89	0.1241014748
90	0.1237193148
91	0.1232959267
92	0.1228911109
93	0.1225891521
94	0.122176244
95	0.1219085698
96	0.1214990769
97	0.1212693924
98	0.1209812492
99	0.1206669705
100	0.1203710201
101	0.1200594519
102	0.1197008742
103	0.1195622364
104	0.1193556818
105	0.1191379968
106	0.1189158403
107	0.1186361677
108	0.1183831512
109	0.1181345928
110	0.1179664914
111	0.1177466028
112	0.1175721235
113	0.1173826302
114	0.1172167797
115	0.1170537588
116	0.1168275427
117	0.1166859758
118	0.1164990658
119	0.1162582453
120	0.1161133066
121	0.1158646555
122	0.1156635149
123	0.1154841729
124	0.1152870394
125	0.1151188192
126	0.1148761071
127	0.1147138934
128	0.1145811586
129	0.1143973944
130	0.1142018488
131	0.1140444768
132	0.1138401027
133	0.1137143101
134	0.1135954034
135	0.113437698
136	0.1133341253
137	0.1132004946
138	0.113032342
139	0.1128556483
140	0.1127500769
141	0.1126177072
142	0.1124521672
143	0.1123205964
144	0.1121921239
145	0.1120605773
146	0.1119044359
147	0.1118001995
148	0.1116447565
149	0.1115069149
150	0.1113893048
151	0.1112842001
152	0.1111750548
153	0.111094823
154	0.1109041551
155	0.1107682834
156	0.1106568427
157	0.1105399292
158	0.1104484109
159	0.1103494049
160	0.1102607675
161	0.1101339421
162	0.110022015
163	0.1099354773
164	0.1098487814
165	0.1097722631
166	0.1096870959
167	0.1095998521
168	0.1095407785
169	0.1094439934
170	0.109340906
171	0.109287654
172	0.1092025911
173	0.1091343606
174	0.109081789
175	0.1090108204
176	0.1089209325
177	0.1088295445
178	0.1087784814
179	0.1087100283
180	0.1086524752
181	0.108593959
182	0.1085183717
183	0.1084191183
184	0.1083273185
185	0.1082408092
186	0.1081766172
187	0.1081133104
188	0.1080313836
189	0.107946655
190	0.1078637224
191	0.107755214
192	0.107675486
193	0.1076201089
194	0.1075339163
195	0.1074797587
196	0.1073930056
197	0.1073454976
198	0.1072853246
199	0.1072030949
200	0.1071534776
201	0.1070974859
202	0.1070209939
203	0.1069273592
204	0.1068541143
205	0.1067557666
206	0.1066713071
207	0.106604109
208	0.1065411551
209	0.1064869404
210	0.1064370907
211	0.1063751605
212	0.106313594
213	0.1062332244
214	0.1061871112
215	0.1061255984
216	0.106055116
217	0.1059850458
218	0.1059467247
219	0.1058710009
220	0.1058082197
221	0.105771056
222	0.1057047856
223	0.1056840038
224	0.1056415316
225	0.1055755627
226	0.1054993265
227	0.1054289703
228	0.1053539342
229	0.105276943
230	0.1052322253
231	0.1051767961
232	0.1051200848
233	0.1050380335
234	0.1049874081
235	0.1049177697
236	0.1048509687
237	0.1048224165
238	0.1047466219
239	0.1046903302
240	0.1046280022
241	0.1045363177
242	0.1044943599
243	0.1044581599
244	0.1044216099
245	0.1043558061
246	0.1042580753
247	0.1041851234
248	0.1041338815
249	0.1041087814
250	0.1040492368
251	0.1040084123
252	0.103941916
253	0.103867205
254	0.1038338606
255	0.1037946968
256	0.103726566
257	0.1036771544
258	0.1036337581
259	0.1035921778
260	0.1035526751
261	0.1034943267
262	0.1034492817
263	0.1034066858
264	0.1033860851
265	0.1033481004
266	0.1033192243
267	0.1032562252
268	0.1032103427
269	0.1031546497
270	0.1031082355
271	0.1030695867
272	0.1030013981
273	0.1029827304
274	0.1029507824
275	0.1029118394
276	0.1028762557
277	0.1028521914
278	0.1028319758
279	0.1027844466
280	0.1027700315
