iter	Passed	Remaining
0	10	104144
1	24	124201
2	39	131916
3	50	126449
4	61	122748
5	71	118378
6	80	114330
7	89	112302
8	99	110492
9	108	108097
10	118	107180
11	127	105829
12	136	105087
13	146	104777
14	156	104145
15	165	103439
16	175	103080
17	185	102882
18	195	102677
19	204	101944
20	210	100063
21	219	99630
22	228	99024
23	237	98654
24	250	99947
25	268	102929
26	287	106081
27	299	106842
28	311	106973
29	321	106847
30	332	106956
31	341	106526
32	352	106516
33	361	106058
34	371	105782
35	380	105338
36	389	105008
37	399	104714
38	410	104915
39	419	104540
40	431	104809
41	442	104877
42	451	104650
43	461	104423
44	471	104373
45	480	104044
46	491	104021
47	500	103733
48	510	103588
49	519	103448
50	530	103397
51	539	103256
52	549	103182
53	558	102904
54	568	102758
55	576	102429
56	586	102344
57	596	102168
58	606	102169
59	615	101886
60	624	101791
61	634	101647
62	645	101807
63	654	101657
64	665	101682
65	674	101456
66	685	101617
67	695	101565
68	705	101525
69	714	101358
70	724	101378
71	731	100931
72	740	100633
73	751	100747
74	759	100508
75	771	100797
76	785	101246
77	797	101419
78	809	101674
79	821	101906
80	831	101863
81	847	102551
82	858	102531
83	870	102702
84	883	103033
85	894	103059
86	903	102998
87	912	102779
88	921	102653
89	930	102423
90	939	102337
91	948	102191
92	956	101902
93	965	101697
94	974	101628
95	982	101383
96	991	101271
97	1001	101204
98	1009	100955
99	1020	100983
100	1028	100818
101	1045	101443
102	1057	101629
103	1063	101207
104	1073	101146
105	1081	100982
106	1091	100882
107	1100	100807
108	1110	100772
109	1120	100782
110	1127	100482
111	1143	100992
112	1159	101465
113	1173	101806
114	1190	102320
115	1379	117553
116	1409	119096
117	1427	119507
118	1438	119440
119	1456	119946
120	1468	119903
121	1479	119819
122	1490	119694
123	1500	119500
124	1508	119159
125	1520	119132
126	1532	119134
127	1541	118895
128	1550	118625
129	1559	118364
130	1568	118129
131	1585	118556
132	1597	118513
133	1606	118282
134	1616	118133
135	1627	118008
136	1639	118055
137	1651	118010
138	1660	117815
139	1672	117765
140	1685	117825
141	1695	117733
142	1706	117609
143	1717	117554
144	1725	117274
145	1737	117236
146	1752	117463
147	1763	117379
148	1773	117243
149	1782	117082
150	1792	116931
151	1801	116742
152	1813	116690
153	1821	116479
154	1832	116373
155	1840	116147
156	1850	116029
157	1859	115861
158	1866	115530
159	1874	115291
160	1883	115126
161	1894	115069
162	1905	114989
163	1915	114862
164	1926	114822
165	1935	114645
166	1945	114533
167	1954	114379
168	1964	114278
169	1972	114050
170	1982	113944
171	1992	113870
172	2000	113642
173	2011	113565
174	2020	113444
175	2030	113317
176	2037	113076
177	2046	112903
178	2055	112790
179	2065	112669
180	2072	112424
181	2082	112363
182	2091	112199
183	2099	111998
184	2109	111897
185	2117	111715
186	2127	111632
187	2135	111448
188	2147	111472
189	2156	111343
190	2166	111282
